Portugal	83.33	79.0	75.6
England	85.67	80.33	78.4
Germany	84.33	84.67	75.6
France	85.33	79.67	79.6
Belgium	77.33	77.67	73.4
Italy	77.67	77.67	75.8
Spain	79	82	78
Netherlands	76.33	78.67	76.0
Denmark	70.0	75.0	67.6
Brazil	83.0	79.0	76.8
Argentina	79.0	75.66666666666667	73.2
Uruguay	78.0	73.33333333333333	71.6
Colombia	68.33333333333333	68.0	67.4
Chile	67.0	63.666666666666664	63.8
Ecuador	66.0	68.66666666666667	64.4
Peru	62.666666666666664	67.66666666666667	63.6
Paraguay	66.33333333333333	64.66666666666667	65.2
Venezuela	66.67	63.67	60.0
Bolivia	59.67	60.33	57.2
Crc	57.0	58.67	57.6
Panama	59.67	56.67	57.6
Jamaica	69.33	55.67	58
Els	52.67	56.0	49.6
Honduras	62.33	56	54.6
Curacao	59.0	57.0	50.2
Tnt	53.67	54.67	47.8
Dom	57.67	50.33	46.4
Hungary	64.67	66.67	63
Turkey	68.67	70.33	70.2
Albania	65	62.67	66.4
Azerbaijan	57	53	55.2
Serbia	73.33	70	66.8
Norway	77.33	70.67	65.8
Armenia	60.0	56.67	51.4
Belarus	57.0	54.0	53.2
Syria	56.0	52.67	48.8
Iraq	58.0	60.67	54.4
Austria	69.0	73.33	67.4
Ireland	62.0	61.0	64.0
Macedonia	60.33	66.33	60.2
Cyprus	53.67	54.33	55.2
Sweden	74.33	66.67	66.6
Scotland	68.33	69.33	68.6
Slovenia	63.0	64.33	64.4
Andorra	38.333333333333336	41.0	43.2
Croatia	71.0	74.33	68.8
Switzerland	68.33	69.67	70.4
Bosnia	65.0	68.67	62.4
Luxembourg	58.67	61.33	53.6
Lithuania	47.67	51.0	50.2
Czechia	69.33	68.67	63.0
Finland	62.0	61.33	61.8
Montenegro	62.33	63.33	59.4
Estonia	50.33	50.67	49.2
Liechtenstein	40.0	45.67	40.8
Wales	69.0	64.67	65.4
Greece	64.33	64.67	68.4
Israel	66.33	63.33	60.4
Faroe	53.33	50.0	46.6
Malta	42.33	49.33	44.2
Poland	70.0	69.33	68.2
Romania	63.33	62.0	60.6
Bulgaria	61.67	58.0	57.2
Latvia	54.67	55.33	47.4
Moldova	53.0	52.0	49.0
Ukraine	72.67	66.0	65.4
Norirl	57.0	61.67	55.2
Iceland	61.67	59.0	59.2
Kosovo	65.0	59.67	63.2
Gibraltar	40.67	43.33	39.2
Russia	66.0	67.67	63.6
Slovakia	62.67	63.67	68.6
Georgia	66.67	60.33	60.8
Kazakhstan	58.67	57.67	54.8
Sanm	40.0	33.0	27.2
Iran	68.33	60.6	58.8
Korea	73.33	65.0	63.2
Japan	70.67	68.33	64.2
Australia	60.67	58.33	59.0
Saudi	59.0	59.33	56.6
Qatar	65.0	56.67	55.4
Uae	60.0	53.67	48.8
China	59.67	51.0	47.6
Uzbekistan	61.0	57.67	55.4
Thailand	57.33	53.67	53.4
Guinea	62.0	70.33	57.6
Senegal	73.0	69.0	69.4
Morocco	72.33	72.67	64.6
Nigeria	74.33	71.0	63.4
Cameroon	66.0	67.33	67.0
Egypt	73.33	65.67	61.0
Ghana	70.33	70.0	64.0
Ivory	71.0	73.67	52.8
Algeria	70.0	69.33	61.0
Rsa	61.0	63.0	58.0
Mali	62.0	73.0	61.2
Bf	64.67	54.0	60.6
Sol	36.33	32.67	32.6
